ENTIDAD	NOM_ENT	POBTOT	POBFEM
01	Aguascalientes	1425607	728924
02	Baja California	3769020	1868431
03	Baja California Sur	798447	392568
04	Campeche	928363	471424
05	Coahuila de Zaragoza	3146771	1583102
06	Colima	731391	370769
07	Chiapas	5543828	2837881
08	Chihuahua	3741869	1888047
09	Ciudad de México	9209944	4805017
10	Durango	1832650	927784
11	Guanajuato	6166934	3170480
12	Guerrero	3540685	1840073
13	Hidalgo	3082841	1601462
14	Jalisco	8348151	4249696
15	México	16992418	8741123
16	Michoacán de Ocampo	4748846	2442505
17	Morelos	1971520	1020673
18	Nayarit	1235456	623178
19	Nuevo León	5784442	2893492
20	Oaxaca	4132148	2157305
21	Puebla	6583278	3423163
22	Querétaro	2368467	1211647
23	Quintana Roo	1857985	921206
24	San Luis Potosí	2822255	1449804
25	Sinaloa	3026943	1532128
26	Sonora	2944840	1472643
27	Tabasco	2402598	1228927
28	Tamaulipas	3527735	1791595
29	Tlaxcala	1342977	693083
30	Veracruz de Ignacio de la Llave	8062579	4190805
31	Yucatán	2320898	1180619
32	Zacatecas	1622138	831080
