estado,municipio,clave_inegi,declaratoria_emergencia_ordinaria,declaratoria_emergencia_extraordinaria,declaratoria_desastre,magniud_sismo,fecha_evento
Chiapas,Acacoyagua,7001,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Acala,7002,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Acapetahua,7003,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Altamirano,7004,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Amatán,7005,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Amatenango de la Frontera,7006,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Amatenango del Valle,7007,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Angel Albino Corzo,7008,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Arriaga,7009,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Bejucal de Ocampo,7010,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Bella Vista,7011,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Berriozábal,7012,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Bochil,7013,no aplica,sí,sí,8.2,2017-09-07
Chiapas,El Bosque,7014,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Cacahoatán,7015,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Catazajá,7016,no aplica,sí,no aplica,8.2,2017-09-07
Chiapas,Cintalapa,7017,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Coapilla,7018,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Comitán de Domínguez,7019,no aplica,sí,sí,8.2,2017-09-07
Chiapas,La Concordia,7020,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Copainalá,7021,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Chalchihuitán,7022,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Chamula,7023,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Chanal,7024,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Chapultenango,7025,no aplica,sí,no aplica,8.2,2017-09-07
Chiapas,Chenalhó,7026,no aplica,sí,sí,8.2,2017-09-07
Chiapas,Chiapa de Corzo,7027,no aplica,sí,sí,8.2,2017-09-07
