ENTIDAD	NOM_ENT	MUN	NOM_MUN	POBTOT	POBFEM	CVEGEO
01	Aguascalientes	001	Aguascalientes	948990	486917	01001
01	Aguascalientes	002	Asientos	51536	26275	01002
01	Aguascalientes	003	Calvillo	58250	29687	01003
01	Aguascalientes	004	Cosío	17000	8708	01004
01	Aguascalientes	005	Jesús María	129929	65710	01005
01	Aguascalientes	006	Pabellón de Arteaga	47646	24269	01006
01	Aguascalientes	007	Rincón de Romos	57369	29268	01007
01	Aguascalientes	008	San José de Gracia	9552	5020	01008
01	Aguascalientes	009	Tepezalá	22485	11371	01009
01	Aguascalientes	010	El Llano	20853	10407	01010
01	Aguascalientes	011	San Francisco de los Romo	61997	31292	01011
02	Baja California	001	Ensenada	443807	222500	02001
02	Baja California	002	Mexicali	1049792	520544	02002
02	Baja California	003	Tecate	108440	51310	02003
02	Baja California	004	Tijuana	1922523	953783	02004
02	Baja California	005	Playas de Rosarito	126890	62504	02005
02	Baja California	006	San Quintín	117568	57790	02006
03	Baja California Sur	001	Comondú	73021	36217	03001
03	Baja California Sur	002	Mulegé	64022	30951	03002
03	Baja California Sur	003	La Paz	292241	146438	03003
03	Baja California Sur	008	Los Cabos	351111	170167	03008
03	Baja California Sur	009	Loreto	18052	8795	03009
04	Campeche	001	Calkiní	59232	30062	04001
04	Campeche	002	Campeche	294077	152522	04002
04	Campeche	003	Carmen	248845	125802	04003
04	Campeche	004	Champotón	78170	39140	04004
04	Campeche	005	Hecelchakán	31917	16204	04005
04	Campeche	006	Hopelchén	42140	20812	04006
04	Campeche	007	Palizada	8683	4260	04007
04	Campeche	008	Tenabo	11452	5655	04008
04	Campeche	009	Escárcega	59923	30455	04009
04	Campeche	010	Calakmul	31714	15613	04010
04	Campeche	011	Candelaria	46913	23239	04011
04	Campeche	012	Seybaplaya	15297	7660	04012
05	Coahuila de Zaragoza	001	Abasolo	1022	487	05001
05	Coahuila de Zaragoza	002	Acuña	163058	81115	05002
05	Coahuila de Zaragoza	003	Allende	23056	11610	05003
05	Coahuila de Zaragoza	004	Arteaga	29578	14623	05004
05	Coahuila de Zaragoza	005	Candela	1643	800	05005
05	Coahuila de Zaragoza	006	Castaños	29128	14532	05006
05	Coahuila de Zaragoza	007	Cuatro Ciénegas	12715	6350	05007
05	Coahuila de Zaragoza	008	Escobedo	3047	1518	05008
05	Coahuila de Zaragoza	009	Francisco I. Madero	59035	29818	05009
05	Coahuila de Zaragoza	010	Frontera	82409	41200	05010
05	Coahuila de Zaragoza	011	General Cepeda	11898	5807	05011
05	Coahuila de Zaragoza	012	Guerrero	1643	760	05012
05	Coahuila de Zaragoza	013	Hidalgo	1735	839	05013
05	Coahuila de Zaragoza	014	Jiménez	9502	4645	05014
05	Coahuila de Zaragoza	015	Juárez	1584	798	05015
05	Coahuila de Zaragoza	016	Lamadrid	1764	836	05016
05	Coahuila de Zaragoza	017	Matamoros	118337	59645	05017
05	Coahuila de Zaragoza	018	Monclova	237951	119893	05018
05	Coahuila de Zaragoza	019	Morelos	7928	3993	05019
05	Coahuila de Zaragoza	020	Múzquiz	71627	35771	05020
05	Coahuila de Zaragoza	021	Nadadores	6539	3296	05021
05	Coahuila de Zaragoza	022	Nava	33129	16530	05022
05	Coahuila de Zaragoza	023	Ocampo	9642	4650	05023
05	Coahuila de Zaragoza	024	Parras	44472	21938	05024
05	Coahuila de Zaragoza	025	Piedras Negras	176327	87616	05025
05	Coahuila de Zaragoza	026	Progreso	3239	1605	05026
05	Coahuila de Zaragoza	027	Ramos Arizpe	122243	59521	05027
05	Coahuila de Zaragoza	028	Sabinas	64811	32574	05028
05	Coahuila de Zaragoza	029	Sacramento	2471	1229	05029
05	Coahuila de Zaragoza	030	Saltillo	879958	442166	05030
05	Coahuila de Zaragoza	031	San Buenaventura	24759	12484	05031
05	Coahuila de Zaragoza	032	San Juan de Sabinas	42260	21338	05032
05	Coahuila de Zaragoza	033	San Pedro	101041	51092	05033
05	Coahuila de Zaragoza	034	Sierra Mojada	6744	3217	05034
05	Coahuila de Zaragoza	035	Torreón	720848	369095	05035
05	Coahuila de Zaragoza	036	Viesca	20305	10075	05036
05	Coahuila de Zaragoza	037	Villa Unión	6188	3058	05037
05	Coahuila de Zaragoza	038	Zaragoza	13135	6578	05038
06	Colima	001	Armería	27626	13686	06001
06	Colima	002	Colima	157048	80893	06002
06	Colima	003	Comala	21661	10768	06003
06	Colima	004	Coquimatlán	20837	10353	06004
06	Colima	005	Cuauhtémoc	31267	15538	06005
06	Colima	006	Ixtlahuacán	5623	2736	06006
06	Colima	007	Manzanillo	191031	95914	06007
06	Colima	008	Minatitlán	10231	4997	06008
06	Colima	009	Tecomán	116305	58476	06009
06	Colima	010	Villa de Álvarez	149762	77408	06010
07	Chiapas	001	Acacoyagua	17994	8997	07001
07	Chiapas	002	Acala	21187	10773	07002
07	Chiapas	003	Acapetahua	26899	13714	07003
07	Chiapas	004	Altamirano	36160	18128	07004
07	Chiapas	005	Amatán	24512	12184	07005
07	Chiapas	006	Amatenango de la Frontera	31735	16307	07006
07	Chiapas	007	Amatenango del Valle	11283	5910	07007
07	Chiapas	008	Angel Albino Corzo	31947	16042	07008
07	Chiapas	009	Arriaga	41135	21181	07009
07	Chiapas	010	Bejucal de Ocampo	7365	3713	07010
07	Chiapas	011	Bella Vista	20157	10155	07011
07	Chiapas	012	Berriozábal	64632	32718	07012
07	Chiapas	013	Bochil	37263	19055	07013
07	Chiapas	014	El Bosque	24273	12562	07014
07	Chiapas	015	Cacahoatán	50112	25685	07015
07	Chiapas	016	Catazajá	17619	8737	07016
07	Chiapas	017	Cintalapa	88106	44429	07017
07	Chiapas	018	Coapilla	9900	5027	07018
07	Chiapas	019	Comitán de Domínguez	166178	86738	07019
07	Chiapas	020	La Concordia	49920	24787	07020
07	Chiapas	021	Copainalá	22192	11346	07021
07	Chiapas	022	Chalchihuitán	21915	11042	07022
07	Chiapas	023	Chamula	101967	55019	07023
07	Chiapas	024	Chanal	13678	6944	07024
07	Chiapas	025	Chapultenango	7472	3737	07025
07	Chiapas	026	Chenalhó	47371	24177	07026
07	Chiapas	027	Chiapa de Corzo	112075	56909	07027
07	Chiapas	028	Chiapilla	6156	3050	07028
07	Chiapas	029	Chicoasén	5402	2701	07029
07	Chiapas	030	Chicomuselo	36785	18646	07030
07	Chiapas	031	Chilón	137262	69945	07031
07	Chiapas	032	Escuintla	30896	15682	07032
07	Chiapas	033	Francisco León	7245	3572	07033
07	Chiapas	034	Frontera Comalapa	80897	41738	07034
07	Chiapas	035	Frontera Hidalgo	14556	7380	07035
07	Chiapas	036	La Grandeza	7701	3936	07036
07	Chiapas	037	Huehuetán	36333	18622	07037
07	Chiapas	038	Huixtán	22975	11711	07038
07	Chiapas	039	Huitiupán	27893	13898	07039
07	Chiapas	040	Huixtla	53242	27163	07040
07	Chiapas	041	La Independencia	46409	23832	07041
07	Chiapas	042	Ixhuatán	11377	5838	07042
07	Chiapas	043	Ixtacomitán	10961	5542	07043
07	Chiapas	044	Ixtapa	28999	14713	07044
07	Chiapas	045	Ixtapangajoya	6284	3162	07045
07	Chiapas	046	Jiquipilas	41063	20693	07046
07	Chiapas	047	Jitotol	24966	12539	07047
07	Chiapas	048	Juárez	21807	11035	07048
