CVE_ZM	NOM_ZM	CVE_ENT	NOM_ENT	CVEGEO	NOM_MUN
01.01	Aguascalientes	01	Aguascalientes	01001	Aguascalientes
01.01	Aguascalientes	01	Aguascalientes	01005	Jesús María
01.01	Aguascalientes	01	Aguascalientes	01011	San Francisco de los Romo
02.01	Ensenada	02	Baja California	02001	Ensenada
02.02	Mexicali	02	Baja California	02002	Mexicali
02.03	Tijuana	02	Baja California	02003	Tecate
02.03	Tijuana	02	Baja California	02004	Tijuana
02.03	Tijuana	02	Baja California	02005	Playas de Rosarito
03.01	La Paz	03	Baja California Sur	03003	La Paz
04.01	Campeche	04	Campeche	04002	Campeche
05.01	La Laguna	05	Coahuila de Zaragoza	05009	Francisco I. Madero
05.01	La Laguna	05	Coahuila de Zaragoza	05017	Matamoros
05.01	La Laguna	05	Coahuila de Zaragoza	05035	Torreón
05.01	La Laguna	10	Durango	10007	Gómez Palacio
05.01	La Laguna	10	Durango	10012	Lerdo
05.02	Monclova-Frontera	05	Coahuila de Zaragoza	05006	Casta±os
05.02	Monclova-Frontera	05	Coahuila de Zaragoza	05010	Frontera
05.02	Monclova-Frontera	05	Coahuila de Zaragoza	05018	Monclova
05.02	Monclova-Frontera	05	Coahuila de Zaragoza	05031	San Buenaventura
05.03	Piedras Negras	05	Coahuila de Zaragoza	05022	Nava
05.03	Piedras Negras	05	Coahuila de Zaragoza	05025	Piedras Negras
05.04	Saltillo	05	Coahuila de Zaragoza	05004	Arteaga
05.04	Saltillo	05	Coahuila de Zaragoza	05027	Ramos Arizpe
05.04	Saltillo	05	Coahuila de Zaragoza	05030	Saltillo
06.01	Colima-Villa de álvarez	06	Colima	06002	Colima
06.01	Colima-Villa de álvarez	06	Colima	06003	Comala
06.01	Colima-Villa de álvarez	06	Colima	06004	Coquimatlán
06.01	Colima-Villa de álvarez	06	Colima	06005	Cuauhtémoc
06.01	Colima-Villa de álvarez	06	Colima	06010	Villa de álvarez
06.02	Tecomán	06	Colima	06001	Armería
