Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene % GC content	Gene type	HGNC symbol
ENSG00000210049	MT	577	647	40.85	Mt_tRNA	MT-TF
ENSG00000211459	MT	648	1601	45.49	Mt_rRNA	MT-RNR1
ENSG00000210077	MT	1602	1670	42.03	Mt_tRNA	MT-TV
ENSG00000210082	MT	1671	3229	42.81	Mt_rRNA	MT-RNR2
ENSG00000209082	MT	3230	3304	38.67	Mt_tRNA	MT-TL1
ENSG00000198888	MT	3307	4262	47.70	protein_coding	MT-ND1
ENSG00000210100	MT	4263	4331	28.99	Mt_tRNA	MT-TI
ENSG00000210107	MT	4329	4400	48.61	Mt_tRNA	MT-TQ
ENSG00000210112	MT	4402	4469	45.59	Mt_tRNA	MT-TM
ENSG00000198763	MT	4470	5511	42.99	protein_coding	MT-ND2
ENSG00000210117	MT	5512	5579	35.29	Mt_tRNA	MT-TW
ENSG00000210127	MT	5587	5655	43.48	Mt_tRNA	MT-TA
ENSG00000210135	MT	5657	5729	41.10	Mt_tRNA	MT-TN
ENSG00000210140	MT	5761	5826	45.45	Mt_tRNA	MT-TC
ENSG00000210144	MT	5826	5891	42.42	Mt_tRNA	MT-TY
ENSG00000198804	MT	5904	7445	46.24	protein_coding	MT-CO1
ENSG00000210151	MT	7446	7514	49.28	Mt_tRNA	MT-TS1
ENSG00000210154	MT	7518	7585	23.53	Mt_tRNA	MT-TD
ENSG00000198712	MT	7586	8269	46.20	protein_coding	MT-CO2
ENSG00000210156	MT	8295	8364	32.86	Mt_tRNA	MT-TK
ENSG00000228253	MT	8366	8572	39.61	protein_coding	MT-ATP8
ENSG00000198899	MT	8527	9207	44.20	protein_coding	MT-ATP6
ENSG00000198938	MT	9207	9990	46.56	protein_coding	MT-CO3
ENSG00000210164	MT	9991	10058	26.47	Mt_tRNA	MT-TG
ENSG00000198840	MT	10059	10404	40.17	protein_coding	MT-ND3
ENSG00000210174	MT	10405	10469	23.08	Mt_tRNA	MT-TR
ENSG00000212907	MT	10470	10766	43.10	protein_coding	MT-ND4L
ENSG00000198886	MT	10760	12137	44.27	protein_coding	MT-ND4
ENSG00000210176	MT	12138	12206	36.23	Mt_tRNA	MT-TH
ENSG00000210184	MT	12207	12265	45.76	Mt_tRNA	MT-TS2
ENSG00000210191	MT	12266	12336	35.21	Mt_tRNA	MT-TL2
ENSG00000198786	MT	12337	14148	44.92	protein_coding	MT-ND5
ENSG00000198695	MT	14149	14673	42.67	protein_coding	MT-ND6
ENSG00000210194	MT	14674	14742	39.13	Mt_tRNA	MT-TE
ENSG00000198727	MT	14747	15887	46.28	protein_coding	MT-CYB
ENSG00000210195	MT	15888	15953	37.88	Mt_tRNA	MT-TT
ENSG00000210196	MT	15956	16023	33.82	Mt_tRNA	MT-TP
ENSG00000262603	CHR_HSCHR17_1_CTG4	41409741	41432374	47.68	antisense	
